user_id,names,age,past_purchase_amt,badge
0,Adriana Mcclure,26,39.34470378033142,gold
1,Stacy Gilmore,67,15.840150985561813,silver
2,Joanna Walsh,50,1099.4200847281795,bronze
3,Eduardo Moore,65,5.880238715072777,bronze
4,Angela Freeman,88,1312.2968468208742,bronze
5,Hannah Savage,24,148.93989877410462,silver
6,Jacob Perry,75,9.708406486030913,silver
7,Thomas Morrison,52,51.5939794620017,silver
8,Mr. Isaac Barry,41,2.730201090133222,bronze
9,Melissa Adams,38,54.05227358435399,bronze
10,Mark Carter,47,16.747415608998033,silver
11,Keith Aguilar,81,215.6850008963264,bronze
12,Jennifer Thomas,20,113.91969508469238,gold
13,Nancy Allen,55,1314.648607952644,silver
14,Jennifer Nguyen,29,42.370466348258354,bronze
15,Antonio Robinson MD,67,1782.997572386441,bronze
16,Kevin Brown,38,227.86329767373323,gold
17,Kelly Collins,89,1735.1500017012772,silver
18,Beverly Rodriguez,35,44.9803914431458,bronze
19,Amy Sutton,75,6.737844527100966,bronze
20,Sheena Baxter,85,83.6806894930929,bronze
21,Rebecca Stout,68,1097.8087718325548,bronze
22,Christopher Crawford,83,47.20493730500408,bronze
23,Erica White,39,1256.6332598982412,bronze
24,Matthew Terry,68,717.5805609887591,bronze
25,Joshua Hayes,29,32.05705928574199,silver
26,Christopher Allen,67,26.628154967109673,silver
27,Gabrielle Collins,85,70.27552989361163,bronze
28,Melissa Hall,86,30.75191099277092,silver
29,Tina Singh,82,35.792495930095896,bronze
30,Amber Miller,60,49.97872992868327,silver
31,Anthony Morgan,20,180.50054828744848,bronze
32,Chris Vasquez,87,3.3113993198897185,bronze
33,John Novak,58,321.1282396556707,bronze
34,Rachel Curtis,32,1610.2219986230239,gold
35,Sarah Owen,74,139.7048528120551,bronze
36,Stacey Miller,85,33.71563016553383,bronze
37,Daniel Steele,18,1542.122390016609,bronze
38,Brandy Decker,66,48.25625594984856,silver
39,Shane Cox,38,21.545723052973003,silver
40,Judy Norris,66,1947.5649952332803,silver
41,Michael Day,29,1355.1702441779225,bronze
42,Nancy Snow,79,228.92099014158472,silver
43,Kristina Miles,19,30.563456157813956,bronze
44,Brandon Smith,18,33.581141374964986,bronze
45,Jaime Andrews,43,42.62607333553816,bronze
46,Emily Allen,72,542.640234329182,silver
47,Bryan Martinez,28,449.87421567456033,silver
48,Alexander Webb,79,14.994068554043933,silver
49,Eric Green,61,16.11677328391743,bronze
50,Bruce Beltran,29,12.871311665287932,bronze
51,Tim Barrett,61,30.60732231289452,bronze
52,James Berg,81,84.3966792493662,bronze
53,Melissa Kirby,20,29.31044872056821,silver
54,Kevin Phillips,67,66.63280566810941,bronze
55,Heather Jackson,21,791.7747612898214,bronze
56,Emily Vega MD,71,1270.0070097684022,silver
57,Christopher Smith,35,29.607167718863415,gold
58,Abigail Miller,59,79.95062922773342,silver
59,Timothy Wu,48,83.0034623809647,bronze
60,Jacob Lewis,84,1330.005177933479,bronze
61,David Cole,74,1354.9734238997096,silver
62,John Beltran,55,22.41688449112654,bronze
63,Angelica Villarreal,27,1178.2364162554347,bronze
64,Steven Jones,30,41.36746245033174,bronze
65,Angela Mahoney,51,18.733493677833113,silver
66,Belinda Nelson,57,636.2738332176788,silver
67,Christopher Martinez,24,27.36848277901754,bronze
68,Paige Black,34,183.75361681671382,bronze
69,Brian Martinez,58,83.98386328039517,gold
70,Melissa Meyer,88,615.9366562621087,silver
71,Kimberly Martin,58,1404.8209849674538,silver
72,Stephanie Johnson,88,5.749956019146774,silver
73,Matthew Flores,70,35.04150282270502,gold
74,Bobby Williams,55,317.1981975286351,gold
75,Michelle Rush,61,3.5437666378855703,gold
76,Jennifer Mcbride,33,37.10323985862013,bronze
77,Wendy Brown,73,21.249617512201418,bronze
78,Jeff Richardson,76,222.7537859381048,bronze
79,Terry Bray,26,45.01145968608124,gold
80,Mary Brown,71,655.8906760611925,gold
81,Blake Kramer,23,0.7895023581224181,bronze
82,Robert Evans,27,99.34456285456272,silver
83,Stephen Marsh,69,19.064524151467282,gold
84,James Collins,89,1241.0735645409245,bronze
85,Amanda Perkins,87,14.318095069304931,silver
86,Nicholas Brown,31,95.91188709058376,bronze
87,Charles Baker,30,46.496050205304954,silver
